symbol,open_time,funding_rate,funding_rate_z_7d,funding_rate_1d_change
MINAUSDT,2026-05-21 12:00:00+00:00,-1.156e-05,0.6373434,-0.00011156
MINAUSDT,2026-05-21 16:00:00+00:00,-1.156e-05,0.604864,-0.00011156
MINAUSDT,2026-05-21 20:00:00+00:00,1.884e-05,0.86614877,5.802e-05
MINAUSDT,2026-05-22 00:00:00+00:00,1.884e-05,0.8564945,5.802e-05
MINAUSDT,2026-05-22 04:00:00+00:00,1e-04,1.4909831,1.849e-05
MINAUSDT,2026-05-22 08:00:00+00:00,1e-04,1.4156517,1.849e-05
MINAUSDT,2026-05-22 12:00:00+00:00,6.62e-06,0.60294193,1.818e-05
MINAUSDT,2026-05-22 16:00:00+00:00,6.62e-06,0.5746179,1.818e-05
MINAUSDT,2026-05-22 20:00:00+00:00,7.862e-05,1.1266311,5.978e-05
MINAUSDT,2026-05-23 00:00:00+00:00,7.862e-05,1.077888,5.978e-05
MINAUSDT,2026-05-23 04:00:00+00:00,-3.277e-05,0.13876037,-0.00013277
MINAUSDT,2026-05-23 08:00:00+00:00,-3.277e-05,0.15297076,-0.00013277
MINAUSDT,2026-05-23 12:00:00+00:00,-0.00012733,-0.77456856,-0.00013395
MINAUSDT,2026-05-23 16:00:00+00:00,-0.00012733,-0.91770333,-0.00013395
MINAUSDT,2026-05-23 20:00:00+00:00,4.931e-05,0.8893959,-2.931e-05
MINAUSDT,2026-05-24 00:00:00+00:00,4.931e-05,0.8484514,-2.931e-05
MINAUSDT,2026-05-24 04:00:00+00:00,5.521e-05,0.86780286,8.798e-05
MINAUSDT,2026-05-24 08:00:00+00:00,5.521e-05,0.82700944,8.798e-05
MINAUSDT,2026-05-24 12:00:00+00:00,-8.509e-05,-0.6478861,4.224e-05
MINAUSDT,2026-05-24 16:00:00+00:00,-8.509e-05,-0.61318994,4.224e-05
MINAUSDT,2026-05-24 20:00:00+00:00,-1.026e-05,0.18744554,-5.957e-05
MINAUSDT,2026-05-25 00:00:00+00:00,-1.026e-05,0.17058787,-5.957e-05
MINAUSDT,2026-05-25 04:00:00+00:00,-2.639e-05,-0.052823063,-8.16e-05
MINAUSDT,2026-05-25 08:00:00+00:00,-2.639e-05,-0.10463307,-8.16e-05
MINAUSDT,2026-05-25 12:00:00+00:00,6.782e-05,1.0100513,0.00015291
MINAUSDT,2026-05-25 16:00:00+00:00,6.782e-05,0.98622334,0.00015291
MINAUSDT,2026-05-25 20:00:00+00:00,2.966e-05,0.51857024,3.992e-05
MINAUSDT,2026-05-26 00:00:00+00:00,2.966e-05,0.5038242,3.992e-05
MINAUSDT,2026-05-26 04:00:00+00:00,3.75e-06,0.1833243,3.014e-05
MINAUSDT,2026-05-26 08:00:00+00:00,3.75e-06,0.16793983,3.014e-05
MINAUSDT,2026-05-26 12:00:00+00:00,-0.00022376,-2.5135977,-0.00029158
MINAUSDT,2026-05-26 16:00:00+00:00,-0.00022376,-2.5009983,-0.00029158
MINAUSDT,2026-05-26 20:00:00+00:00,3.66e-05,0.51927066,6.94e-06
MINAUSDT,2026-05-27 00:00:00+00:00,3.66e-05,0.48300615,6.94e-06
MINAUSDT,2026-05-27 04:00:00+00:00,8.056e-05,0.9824642,7.681e-05
MINAUSDT,2026-05-27 08:00:00+00:00,8.056e-05,0.9405367,7.681e-05
MINAUSDT,2026-05-27 12:00:00+00:00,-0.00010091,-1.3242086,0.00012285
MINAUSDT,2026-05-27 16:00:00+00:00,-0.00010091,-1.2623271,0.00012285
MINAUSDT,2026-05-27 20:00:00+00:00,-0.00011538,-1.3939338,-0.00015198
MINAUSDT,2026-05-28 00:00:00+00:00,-0.00011538,-1.3438818,-0.00015198
MINAUSDT,2026-05-28 04:00:00+00:00,3.012e-05,0.45947683,-5.044e-05
MINAUSDT,2026-05-28 08:00:00+00:00,3.012e-05,0.48039478,-5.044e-05
MINAUSDT,2026-05-28 12:00:00+00:00,-0.00016865,-1.8788706,-6.774e-05
MINAUSDT,2026-05-28 16:00:00+00:00,-0.00016865,-1.7630991,-6.774e-05
MINAUSDT,2026-05-28 20:00:00+00:00,-0.00012923,-1.2456731,-1.385e-05
MINAUSDT,2026-05-29 00:00:00+00:00,-0.00012923,-1.1875205,-1.385e-05
MINAUSDT,2026-05-29 04:00:00+00:00,2.548e-05,0.56842333,-4.64e-06
MINAUSDT,2026-05-29 08:00:00+00:00,2.548e-05,0.600877,-4.64e-06
