era,feature,label,n_cyc,med_n_sym,block_days,ic_raw,t_raw,ic_pred_orth,t_pred_orth,ic_v0_orth,t_v0_orth
rec,resid_rev_3c,h24,1591,167,1,0.04289810774140309,8.120713648575887,0.03869189752174889,7.5796109159944915,-0.0027271368067589563,-0.8076180790077057
rec,resid_rev_6c,h24,1591,167,1,0.04100281509450935,6.926530813932837,0.035158421340368076,6.241925849736991,-0.0029052307619488473,-0.8893172525200224
rec,resid_rev_12c,h24,1591,167,1,0.036846363283269574,5.7568811258501205,0.03107788360205014,5.057919356438973,0.0032871162179125605,0.941398611171462
rec,resid_rev_2c,h48,1579,167,2,0.02268124293599374,4.895519352281982,0.018560940203396572,4.246644724513925,-0.006562104660469808,-2.1229727045945754
rec,resid_rev_3c,h48,1579,167,2,0.02615799677366362,5.020087846185619,0.021497489439532773,4.382413791775996,0.00019650460082158382,0.06636483530854326
rec,resid_rev_6c,h48,1579,167,2,0.027530241909128374,4.50080908758402,0.021609173134675454,3.7419808675173627,-0.0023065331175646563,-0.6798651817982632
rec,resid_rev_12c,h48,1579,167,2,0.015166749494930581,1.9576050380618093,0.009687533860587441,1.3096421169764598,-0.005573348724981067,-1.5359948236811456
rec,resid_rev_2c,h72,1567,167,3,0.014407912419602091,3.3816021184818963,0.010056393780912509,2.446811024793857,-0.006526605889071505,-2.0174716889617663
rec,resid_rev_3c,h72,1567,167,3,0.01570756442279818,3.1594128229243057,0.010958478857174584,2.2853008239201573,-0.001119751385144244,-0.34658661844801075
rec,resid_rev_6c,h72,1567,167,3,0.012675442697321054,1.8606584064322533,0.006713723095953842,1.021308004915525,-0.007645356990277127,-1.9501516292224759
rec,resid_rev_12c,h72,1567,167,3,0.004028990854158834,0.44557417978148206,-0.0014669389046717489,-0.16492808012777826,-0.011690056949696874,-2.8931884194689617
rec,resid_rev_2c,m48,1579,167,2,-0.004545247466147026,-1.0672934157767273,-0.007575534979394902,-1.8838883343980752,-0.0005737727358233821,-0.1798004632575785
rec,resid_rev_3c,m48,1579,167,2,-0.00399961299076623,-0.8317259789765716,-0.007503825631281907,-1.6424821870569166,0.0028645489726582315,0.9492675447150869
rec,resid_rev_6c,m48,1579,167,2,0.00047679206031571013,0.0794834530770672,-0.0035005738054651775,-0.6107438923611712,-0.0012225718903927682,-0.36859335019849704
rec,resid_rev_12c,m48,1579,167,2,-0.00835678559024528,-1.1482013352449973,-0.011788384906951771,-1.6780052400841206,-0.010243727764700882,-2.3975363392637665
rec,resid_rev_2c,m72,1567,167,3,-0.008272706396694491,-1.8746363450737946,-0.01162947282415794,-2.728352464508305,-0.002694864459566373,-0.8775644316991406
rec,resid_rev_3c,m72,1567,167,3,-0.009955051988019138,-1.9439851961177095,-0.013517257285440776,-2.720370521452731,-0.0014103188782318022,-0.4279960350638648
rec,resid_rev_6c,m72,1567,167,3,-0.012824485352525075,-1.7587030475519043,-0.017042190296457656,-2.3805947605742137,-0.00822197187996182,-2.1106600456891744
rec,resid_rev_12c,m72,1567,167,3,-0.018390410231656166,-2.0201108822543743,-0.022037037433680223,-2.434694610043294,-0.017495321186016644,-3.8751767894462446
rec,resid_rev_2c,r4,1601,167,1,0.04517381270191198,12.80854140930691,0.04280758453565863,12.448693119412148,0.00016242505885981918,0.050247514844348966
rec,resid_rev_3c,r4,1601,167,1,0.045831165779128616,13.100701458037744,0.04311284757511178,12.74505837979839,-0.0019839439917957867,-0.5993415187290883
rec,resid_rev_6c,r4,1601,167,1,0.046184492401148775,13.287787146257848,0.04272393246765653,12.74039908957639,-0.0002674167383825167,-0.11542610801132877
rec,resid_rev_12c,r4,1601,167,1,0.036696760070114465,10.985306175490846,0.033544917648358465,10.449914784130723,0.002890374178470912,1.2448256505416544
rec,resid_rev_2c,r12,1597,167,1,0.044155039404899454,10.454968498898793,0.0412304709597077,10.066527684485074,-0.006135176830648987,-1.7182982295233227
